lat,lon,area_code,type_of_area,type_of_area_pred_rf,type_of_area_pred_cboost,type_of_area_pred_lgbm,type_of_area_pred_voting
37.39333333333333,140.3402777777778,jp07203520,unknown,urban,urban,urban,urban
41.13417,14.77556,openaq_8442,unknown,urban,urban,urban,urban
35.07638888888889,136.91361111111112,jp23112020,unknown,urban,urban,urban,urban
-35.418302,149.094018,openaq_9320,unknown,suburban,suburban,suburban,suburban
50.9346312195109,5.49278842959582,openaq_3348,unknown,suburban,suburban,suburban,suburban
28.6125027,77.2351994,openaq_5755,unknown,urban,urban,urban,urban
32.4983,-86.1367,openaq_713,unknown,rural,rural,rural,rural
50.4217,124.1303,2269A,unknown,urban,urban,urban,urban
32.8095,-117.139599,openaq_7488,unknown,suburban,suburban,urban,suburban
34.15333333333333,131.4336111111111,jp35203010,unknown,suburban,urban,suburban,suburban
35.35861111111111,139.5725,jp14115010,unknown,urban,urban,urban,urban
13.67,79.35,openaq_5649,unknown,suburban,suburban,rural,suburban
44.5236111111111,18.6002777777778,openaq_7837,unknown,suburban,suburban,suburban,suburban
33.725614,73.11602,openaq_233470,unknown,urban,urban,urban,urban
34.87861111111111,137.17333333333332,jp23501010,unknown,suburban,suburban,suburban,suburban
35.55722222222222,139.7397222222222,jp13111010,unknown,urban,urban,urban,urban
35.45777777777778,139.61527777777778,jp14103010,unknown,urban,urban,urban,urban
49.7064,-123.1544,openaq_307,unknown,suburban,suburban,suburban,suburban
23.8859,106.6538,openaq_10236,unknown,urban,urban,urban,urban
44.933998,-106.847198,openaq_8824,unknown,rural,rural,rural,rural
34.2778,117.2933,1182A,unknown,suburban,suburban,suburban,suburban
51.0191639994752,2.250833,openaq_5710,unknown,suburban,suburban,suburban,suburban
36.0855,111.5018,openaq_10258,unknown,urban,urban,urban,urban
43.4055555494639,-7.98888888,openaq_221970,unknown,rural,rural,rural,rural
36.233333,-119.765083,openaq_367930,unknown,rural,rural,rural,rural
34.906082,-95.794128,openaq_1766,unknown,rural,rural,rural,rural
36.34027777777778,139.45055555555555,jp09202510,unknown,urban,urban,urban,urban
41.5881,120.4318,openaq_9548,unknown,urban,urban,urban,urban
35.10944444444445,136.7238888888889,jp23428010,unknown,suburban,suburban,suburban,suburban
55.7087026,37.6585581,openaq_4959,unknown,urban,urban,urban,urban
34.65611111111111,135.1711111111111,jp28105010,unknown,urban,urban,urban,urban
44.9507,-93.0985,openaq_1772,unknown,urban,urban,urban,urban
39.0631,121.9762,openaq_10035,unknown,suburban,suburban,suburban,suburban
51.557895,-0.106989,openaq_225782,unknown,urban,urban,urban,urban
33.298722,44.395917,openaq_8887,unknown,urban,suburban,suburban,suburban
26.5161,106.694,openaq_9854,unknown,urban,urban,urban,urban
35.403055555555554,139.41611111111112,jp14205040,unknown,urban,urban,urban,urban
22.7151,114.3551,openaq_43448,unknown,suburban,suburban,suburban,suburban
33.37916666666667,130.52833333333334,jp41203050,unknown,urban,urban,urban,urban
6.426885,101.823005,openaq_225639,unknown,urban,urban,urban,urban
36.223333333333336,139.38111111111112,jp11403010,unknown,urban,urban,urban,urban
35.0697,109.0697,1923A,unknown,urban,urban,urban,urban
22.9658,113.7383,1391A,unknown,suburban,suburban,urban,suburban
31.798176,35.139121,openaq_11441,unknown,urban,urban,urban,urban
30.5177,117.0809,openaq_6268,unknown,urban,urban,urban,urban
25.421472222222,-100.99686111111,openaq_8006,unknown,urban,urban,urban,urban
51.486957,0.095111,openaq_225751,unknown,urban,urban,urban,urban
12.70862,101.166055,openaq_225611,unknown,suburban,suburban,suburban,suburban
49.86583,-121.4425,105401,unknown,rural,rural,rural,rural
23.243639,72.68994,openaq_228301,unknown,suburban,suburban,rural,suburban
35.14888888888889,138.6225,jp22381010,unknown,suburban,urban,urban,urban
38.0457,114.509,openaq_9888,unknown,urban,urban,urban,urban
55.6198662,37.4273051,openaq_5154,unknown,urban,urban,urban,urban
47.1794241894055,14.6774835957004,openaq_2880,unknown,suburban,suburban,suburban,suburban
43.08444444444444,141.3491666666667,jp01102510,unknown,urban,urban,urban,urban
-33.495361139755,-70.704821317871,openaq_326685,unknown,urban,urban,urban,urban
33.77722222222222,134.59722222222223,jp36381010,unknown,suburban,urban,urban,urban
39.035089,-120.124834,openaq_7143,unknown,rural,rural,rural,rural
39.3521,117.8199,openaq_43560,unknown,urban,urban,urban,urban
34.3063,107.185,openaq_43322,unknown,suburban,suburban,suburban,suburban
42.930599,-72.277802,openaq_1190,unknown,urban,suburban,urban,urban
49.4903888888889,105.9065,openaq_7231,unknown,urban,urban,urban,urban
34.70555555555556,135.44083333333333,jp27113010,unknown,urban,urban,urban,urban
41.0026,117.9268,openaq_43354,unknown,suburban,suburban,urban,suburban
49.302582,-115.451314,101904,unknown,rural,rural,rural,rural
34.56305555555555,135.7788888888889,jp29363010,unknown,suburban,suburban,suburban,suburban
35.0186,-106.651901,openaq_815,unknown,suburban,suburban,suburban,suburban
35.4383,-81.2753,openaq_1678,unknown,rural,rural,rural,rural
40.0583,117.4067,openaq_43419,unknown,urban,urban,urban,urban
31.918333333333333,131.41666666666666,jp45201510,unknown,urban,urban,urban,urban
26.355833333333333,127.97166666666666,jp47322010,unknown,suburban,suburban,suburban,suburban
34.9356,-81.228302,openaq_1339,unknown,rural,rural,rural,rural
37.8531,113.6292,1741A,unknown,urban,suburban,urban,urban
41.5231,-74.215,openaq_275,unknown,rural,rural,rural,rural
33.9075,135.16361111111112,jp30205020,unknown,urban,urban,urban,urban
-35.220606,149.043539,openaq_9075,unknown,suburban,suburban,suburban,suburban
16.507014,80.627767,openaq_5664,unknown,urban,urban,urban,urban
37.17,-78.31,openaq_565,unknown,rural,rural,rural,rural
-37.8447952,144.847488,openaq_7722,unknown,suburban,suburban,suburban,suburban
49.01194,-116.53333,101803,unknown,rural,rural,rural,rural
-32.786170116898,-71.531435220917,openaq_2434,unknown,suburban,suburban,suburban,suburban
40.7375,-73.8244,openaq_631,unknown,urban,urban,urban,urban
53.9147,-122.7419,100202,unknown,suburban,urban,urban,urban
51.4795312838203,-0.0252606031340197,openaq_225766,unknown,urban,urban,urban,urban
42.4388899994652,-2.25028,openaq_3199,unknown,rural,rural,rural,rural
35.31083333333333,139.11527777777778,jp14217020,unknown,urban,urban,urban,urban
33.59055555555556,130.4286111111111,jp40132520,unknown,urban,urban,urban,urban
34.73833333333334,134.00305555555556,jp33322510,unknown,suburban,suburban,suburban,suburban
24.506,117.7116,2920A,unknown,urban,urban,urban,urban
9.949488,-84.142878,openaq_7077,unknown,urban,urban,urban,urban
26.0746,119.317,openaq_9296,unknown,urban,urban,urban,urban
44.92261,-123.301956,openaq_8691,unknown,suburban,suburban,rural,suburban
39.403903,-120.195751,openaq_7146,unknown,rural,rural,rural,rural
37.4094,116.3572,openaq_43460,unknown,urban,urban,urban,urban
35.71083333333333,139.53694444444443,jp13203510,unknown,urban,urban,urban,urban
32.10162,34.7955,openaq_6435,unknown,urban,urban,urban,urban
21.9508,108.6553,2503A,unknown,urban,urban,urban,urban
32.10348,35.16779,openaq_11528,unknown,suburban,suburban,suburban,suburban
34.38,132.47027777777777,jp34201520,unknown,urban,urban,urban,urban
32.65277777777778,130.80833333333334,jp43444010,unknown,suburban,suburban,suburban,suburban
20.576667,-103.326389,openaq_7893,unknown,urban,urban,urban,urban
46.1603950441395,8.93394312993115,openaq_9581,unknown,rural,rural,rural,rural
35.86222222222222,140.07638888888889,jp12222010,unknown,urban,urban,urban,urban
43.333186,-81.742822,063701,unknown,rural,rural,rural,rural
13.119214,100.918596,openaq_7840,unknown,suburban,suburban,suburban,suburban
48.1799830247052,14.5456109119917,openaq_2858,unknown,rural,rural,rural,rural
22.7642,113.2544,openaq_10179,unknown,urban,urban,urban,urban
26.9089,112.5328,2456A,unknown,urban,urban,urban,urban
34.7942,111.1587,openaq_10404,unknown,urban,urban,urban,urban
36.1856,113.0844,openaq_9698,unknown,urban,urban,urban,urban
36.015277777777776,136.20666666666665,jp18201430,unknown,urban,urban,urban,urban
50.267546,20.481294,openaq_270791,unknown,suburban,suburban,suburban,suburban
38.481532,28.159941,openaq_368872,unknown,urban,urban,urban,urban
47.7317,128.9094,2253A,unknown,urban,urban,suburban,urban
37.062,114.4854,1080A,unknown,urban,urban,urban,urban
39.28666666666666,141.11,jp03206010,unknown,urban,urban,urban,urban
42.157741,11.908744,openaq_7535,unknown,rural,suburban,rural,rural
47.62889,-65.66333,041301,unknown,suburban,suburban,suburban,suburban
43.809486,-111.800475,openaq_2133,unknown,suburban,suburban,suburban,suburban
51.150136,3.808735,BETR740,unknown,suburban,suburban,suburban,suburban
38.9117,121.6302,openaq_9733,unknown,urban,suburban,urban,urban
32.46055555555556,130.19583333333333,jp43207010,unknown,urban,urban,urban,urban
37.7667,-100.0333,openaq_2210,unknown,suburban,suburban,suburban,suburban
31.9531,-84.0794,openaq_1436,unknown,rural,rural,rural,rural
